,LAND,TID,INDHOLD,SITC
418,Bolivia,2020,0,Kemikalier og relaterede produkter
419,Bolivia,2021,3,Kemikalier og relaterede produkter
431,"Bonaire, Sint Eustatius og Saba",2018,0,Kemikalier og relaterede produkter
432,"Bonaire, Sint Eustatius og Saba",2019,0,Kemikalier og relaterede produkter
433,"Bonaire, Sint Eustatius og Saba",2020,0,Kemikalier og relaterede produkter
434,"Bonaire, Sint Eustatius og Saba",2021,0,Kemikalier og relaterede produkter
446,Bosnien-Hercegovina,2018,14261,Kemikalier og relaterede produkter
447,Bosnien-Hercegovina,2019,18032,Kemikalier og relaterede produkter
448,Bosnien-Hercegovina,2020,8330,Kemikalier og relaterede produkter
449,Bosnien-Hercegovina,2021,8860,Kemikalier og relaterede produkter
461,Botswana,2018,0,Kemikalier og relaterede produkter
462,Botswana,2019,0,Kemikalier og relaterede produkter
463,Botswana,2020,0,Kemikalier og relaterede produkter
464,Botswana,2021,0,Kemikalier og relaterede produkter
476,Bouvetøen,2018,0,Kemikalier og relaterede produkter
477,Bouvetøen,2019,0,Kemikalier og relaterede produkter
478,Bouvetøen,2020,0,Kemikalier og relaterede produkter
479,Bouvetøen,2021,0,Kemikalier og relaterede produkter
491,Brasilien,2018,1055125,Kemikalier og relaterede produkter
492,Brasilien,2019,951845,Kemikalier og relaterede produkter
493,Brasilien,2020,651470,Kemikalier og relaterede produkter
494,Brasilien,2021,293685,Kemikalier og relaterede produkter
506,Britisk Oceanien,2018,0,Kemikalier og relaterede produkter
507,Britisk Oceanien,2019,0,Kemikalier og relaterede produkter
508,Britisk Oceanien,2020,0,Kemikalier og relaterede produkter
509,Britisk Oceanien,2021,0,Kemikalier og relaterede produkter
521,Britiske Jomfruøer,2018,0,Kemikalier og relaterede produkter
522,Britiske Jomfruøer,2019,0,Kemikalier og relaterede produkter
523,Britiske Jomfruøer,2020,0,Kemikalier og relaterede produkter
524,Britiske Jomfruøer,2021,0,Kemikalier og relaterede produkter
536,Britiske territorium i det Indiske Ocean,2018,0,Kemikalier og relaterede produkter
537,Britiske territorium i det Indiske Ocean,2019,0,Kemikalier og relaterede produkter
538,Britiske territorium i det Indiske Ocean,2020,0,Kemikalier og relaterede produkter
539,Britiske territorium i det Indiske Ocean,2021,0,Kemikalier og relaterede produkter
551,Brunei,2018,0,Kemikalier og relaterede produkter
552,Brunei,2019,0,Kemikalier og relaterede produkter
553,Brunei,2020,0,Kemikalier og relaterede produkter
554,Brunei,2021,0,Kemikalier og relaterede produkter
566,Bulgarien,2018,112273,Kemikalier og relaterede produkter
567,Bulgarien,2019,69512,Kemikalier og relaterede produkter
