ID,LAND,TID,INDHOLD,SITC
449,Bosnien-Hercegovina,2021,8796,Diverse fremstillede varer
461,Botswana,2018,31,Diverse fremstillede varer
462,Botswana,2019,72,Diverse fremstillede varer
463,Botswana,2020,4,Diverse fremstillede varer
464,Botswana,2021,0,Diverse fremstillede varer
476,Bouvetøen,2018,0,Diverse fremstillede varer
477,Bouvetøen,2019,0,Diverse fremstillede varer
478,Bouvetøen,2020,0,Diverse fremstillede varer
479,Bouvetøen,2021,0,Diverse fremstillede varer
491,Brasilien,2018,47914,Diverse fremstillede varer
492,Brasilien,2019,64203,Diverse fremstillede varer
493,Brasilien,2020,53299,Diverse fremstillede varer
494,Brasilien,2021,26171,Diverse fremstillede varer
506,Britisk Oceanien,2018,0,Diverse fremstillede varer
507,Britisk Oceanien,2019,0,Diverse fremstillede varer
508,Britisk Oceanien,2020,0,Diverse fremstillede varer
509,Britisk Oceanien,2021,828,Diverse fremstillede varer
521,Britiske Jomfruøer,2018,200,Diverse fremstillede varer
522,Britiske Jomfruøer,2019,0,Diverse fremstillede varer
523,Britiske Jomfruøer,2020,26,Diverse fremstillede varer
524,Britiske Jomfruøer,2021,6524,Diverse fremstillede varer
536,Britiske territorium i det Indiske Ocean,2018,0,Diverse fremstillede varer
537,Britiske territorium i det Indiske Ocean,2019,0,Diverse fremstillede varer
538,Britiske territorium i det Indiske Ocean,2020,688,Diverse fremstillede varer
539,Britiske territorium i det Indiske Ocean,2021,0,Diverse fremstillede varer
551,Brunei,2018,165,Diverse fremstillede varer
552,Brunei,2019,372,Diverse fremstillede varer
553,Brunei,2020,973,Diverse fremstillede varer
554,Brunei,2021,1233,Diverse fremstillede varer
566,Bulgarien,2018,33879,Diverse fremstillede varer
567,Bulgarien,2019,46368,Diverse fremstillede varer
568,Bulgarien,2020,63736,Diverse fremstillede varer
569,Bulgarien,2021,80510,Diverse fremstillede varer
581,Burkina Faso,2018,77,Diverse fremstillede varer
582,Burkina Faso,2019,63,Diverse fremstillede varer
583,Burkina Faso,2020,0,Diverse fremstillede varer
584,Burkina Faso,2021,3536,Diverse fremstillede varer
596,Burundi,2018,1,Diverse fremstillede varer
597,Burundi,2019,0,Diverse fremstillede varer
598,Burundi,2020,4,Diverse fremstillede varer
599,Burundi,2021,248,Diverse fremstillede varer
611,Cambodja,2018,1106,Diverse fremstillede varer
612,Cambodja,2019,208,Diverse fremstillede varer
613,Cambodja,2020,206,Diverse fremstillede varer
614,Cambodja,2021,781,Diverse fremstillede varer
626,Cameroun,2018,1127,Diverse fremstillede varer
627,Cameroun,2019,1757,Diverse fremstillede varer
628,Cameroun,2020,1760,Diverse fremstillede varer
629,Cameroun,2021,3024,Diverse fremstillede varer
641,Canada,2018,161583,Diverse fremstillede varer
642,Canada,2019,258257,Diverse fremstillede varer
643,Canada,2020,178523,Diverse fremstillede varer
644,Canada,2021,285452,Diverse fremstillede varer
656,Caymanøerne,2018,65,Diverse fremstillede varer
657,Caymanøerne,2019,3768,Diverse fremstillede varer
658,Caymanøerne,2020,989,Diverse fremstillede varer
659,Caymanøerne,2021,406,Diverse fremstillede varer
671,Centralafrikanske Republik,2018,55,Diverse fremstillede varer
672,Centralafrikanske Republik,2019,0,Diverse fremstillede varer
