ID,LAND,TID,SITC,INDHOLD
449,Bosnien-Hercegovina,2021,Maskiner og transportmidler,10330
461,Botswana,2018,Maskiner og transportmidler,3
462,Botswana,2019,Maskiner og transportmidler,26
463,Botswana,2020,Maskiner og transportmidler,0
464,Botswana,2021,Maskiner og transportmidler,3
476,Bouvetøen,2018,Maskiner og transportmidler,0
477,Bouvetøen,2019,Maskiner og transportmidler,0
478,Bouvetøen,2020,Maskiner og transportmidler,0
479,Bouvetøen,2021,Maskiner og transportmidler,0
491,Brasilien,2018,Maskiner og transportmidler,562267
492,Brasilien,2019,Maskiner og transportmidler,62121
493,Brasilien,2020,Maskiner og transportmidler,36685
494,Brasilien,2021,Maskiner og transportmidler,79002
506,Britisk Oceanien,2018,Maskiner og transportmidler,0
507,Britisk Oceanien,2019,Maskiner og transportmidler,0
508,Britisk Oceanien,2020,Maskiner og transportmidler,0
509,Britisk Oceanien,2021,Maskiner og transportmidler,0
521,Britiske Jomfruøer,2018,Maskiner og transportmidler,15
522,Britiske Jomfruøer,2019,Maskiner og transportmidler,0
523,Britiske Jomfruøer,2020,Maskiner og transportmidler,0
524,Britiske Jomfruøer,2021,Maskiner og transportmidler,28
536,Britiske territorium i det Indiske Ocean,2018,Maskiner og transportmidler,0
537,Britiske territorium i det Indiske Ocean,2019,Maskiner og transportmidler,13
538,Britiske territorium i det Indiske Ocean,2020,Maskiner og transportmidler,0
539,Britiske territorium i det Indiske Ocean,2021,Maskiner og transportmidler,0
551,Brunei,2018,Maskiner og transportmidler,47
552,Brunei,2019,Maskiner og transportmidler,2
553,Brunei,2020,Maskiner og transportmidler,1
554,Brunei,2021,Maskiner og transportmidler,137
566,Bulgarien,2018,Maskiner og transportmidler,255547
567,Bulgarien,2019,Maskiner og transportmidler,372058
568,Bulgarien,2020,Maskiner og transportmidler,514298
569,Bulgarien,2021,Maskiner og transportmidler,415187
581,Burkina Faso,2018,Maskiner og transportmidler,1
582,Burkina Faso,2019,Maskiner og transportmidler,82
583,Burkina Faso,2020,Maskiner og transportmidler,71
584,Burkina Faso,2021,Maskiner og transportmidler,549
596,Burundi,2018,Maskiner og transportmidler,57
597,Burundi,2019,Maskiner og transportmidler,18
598,Burundi,2020,Maskiner og transportmidler,126
599,Burundi,2021,Maskiner og transportmidler,4
