,LAND,TID,SITC,INDHOLD
1949,Litauen,2021,Diverse fremstillede varer,1665274
1961,Luxembourg,2018,Diverse fremstillede varer,11766
1962,Luxembourg,2019,Diverse fremstillede varer,11544
1963,Luxembourg,2020,Diverse fremstillede varer,7676
1964,Luxembourg,2021,Diverse fremstillede varer,11831
1976,Macao,2018,Diverse fremstillede varer,0
1977,Macao,2019,Diverse fremstillede varer,0
1978,Macao,2020,Diverse fremstillede varer,0
1979,Macao,2021,Diverse fremstillede varer,110
1991,Madagaskar,2018,Diverse fremstillede varer,208
1992,Madagaskar,2019,Diverse fremstillede varer,64
1993,Madagaskar,2020,Diverse fremstillede varer,161
1994,Madagaskar,2021,Diverse fremstillede varer,68
2006,Malawi,2018,Diverse fremstillede varer,0
2007,Malawi,2019,Diverse fremstillede varer,125
2008,Malawi,2020,Diverse fremstillede varer,132
2009,Malawi,2021,Diverse fremstillede varer,428
2021,Malaysia,2018,Diverse fremstillede varer,96401
2022,Malaysia,2019,Diverse fremstillede varer,93787
2023,Malaysia,2020,Diverse fremstillede varer,99860
2024,Malaysia,2021,Diverse fremstillede varer,84847
2036,Maldiverne,2018,Diverse fremstillede varer,0
2037,Maldiverne,2019,Diverse fremstillede varer,0
2038,Maldiverne,2020,Diverse fremstillede varer,0
2039,Maldiverne,2021,Diverse fremstillede varer,0
2051,Mali,2018,Diverse fremstillede varer,0
2052,Mali,2019,Diverse fremstillede varer,0
2053,Mali,2020,Diverse fremstillede varer,0
2054,Mali,2021,Diverse fremstillede varer,1
2066,Malta,2018,Diverse fremstillede varer,165
2067,Malta,2019,Diverse fremstillede varer,215
2068,Malta,2020,Diverse fremstillede varer,252
2069,Malta,2021,Diverse fremstillede varer,468
2081,Marokko,2018,Diverse fremstillede varer,3153
2082,Marokko,2019,Diverse fremstillede varer,2523
2083,Marokko,2020,Diverse fremstillede varer,3320
2084,Marokko,2021,Diverse fremstillede varer,4790
2096,Marshalløerne,2018,Diverse fremstillede varer,0
2097,Marshalløerne,2019,Diverse fremstillede varer,0
2098,Marshalløerne,2020,Diverse fremstillede varer,0
2099,Marshalløerne,2021,Diverse fremstillede varer,0
2111,Martinique,2018,Diverse fremstillede varer,0
2112,Martinique,2019,Diverse fremstillede varer,0
2113,Martinique,2020,Diverse fremstillede varer,0
2114,Martinique,2021,Diverse fremstillede varer,0
2126,Mauritanien,2018,Diverse fremstillede varer,0
2127,Mauritanien,2019,Diverse fremstillede varer,0
2128,Mauritanien,2020,Diverse fremstillede varer,0
2129,Mauritanien,2021,Diverse fremstillede varer,0
2141,Mauritius,2018,Diverse fremstillede varer,312
2142,Mauritius,2019,Diverse fremstillede varer,32
2143,Mauritius,2020,Diverse fremstillede varer,92
2144,Mauritius,2021,Diverse fremstillede varer,0
2156,Mayotte,2018,Diverse fremstillede varer,0
2157,Mayotte,2019,Diverse fremstillede varer,0
2158,Mayotte,2020,Diverse fremstillede varer,0
2159,Mayotte,2021,Diverse fremstillede varer,0
2171,Melilla,2018,Diverse fremstillede varer,0
2172,Melilla,2019,Diverse fremstillede varer,0
2173,Melilla,2020,Diverse fremstillede varer,0
2174,Melilla,2021,Diverse fremstillede varer,0
2186,Mexico,2018,Diverse fremstillede varer,910
2187,Mexico,2019,Diverse fremstillede varer,1524
2188,Mexico,2020,Diverse fremstillede varer,1580
2189,Mexico,2021,Diverse fremstillede varer,1393
2201,Mikronesiske Stater,2018,Diverse fremstillede varer,0
2202,Mikronesiske Stater,2019,Diverse fremstillede varer,0
2203,Mikronesiske Stater,2020,Diverse fremstillede varer,0
2204,Mikronesiske Stater,2021,Diverse fremstillede varer,0
2216,Moldova,2018,Diverse fremstillede varer,0
2217,Moldova,2019,Diverse fremstillede varer,43
2218,Moldova,2020,Diverse fremstillede varer,105
2219,Moldova,2021,Diverse fremstillede varer,0
2231,Mongoliet,2018,Diverse fremstillede varer,13
2232,Mongoliet,2019,Diverse fremstillede varer,5
2233,Mongoliet,2020,Diverse fremstillede varer,11
2234,Mongoliet,2021,Diverse fremstillede varer,24
2246,Montenegro,2018,Diverse fremstillede varer,0
2247,Montenegro,2019,Diverse fremstillede varer,0
2248,Montenegro,2020,Diverse fremstillede varer,0
2249,Montenegro,2021,Diverse fremstillede varer,0
2261,Montenegro (2005-2006),2018,Diverse fremstillede varer,0
2262,Montenegro (2005-2006),2019,Diverse fremstillede varer,0
2263,Montenegro (2005-2006),2020,Diverse fremstillede varer,0
2264,Montenegro (2005-2006),2021,Diverse fremstillede varer,0
2276,Montserrat,2018,Diverse fremstillede varer,0
2277,Montserrat,2019,Diverse fremstillede varer,0
2278,Montserrat,2020,Diverse fremstillede varer,0
2279,Montserrat,2021,Diverse fremstillede varer,0
2291,Mozambique,2018,Diverse fremstillede varer,1055
2292,Mozambique,2019,Diverse fremstillede varer,267
2293,Mozambique,2020,Diverse fremstillede varer,267
2294,Mozambique,2021,Diverse fremstillede varer,0
2306,Myanmar,2018,Diverse fremstillede varer,750
2307,Myanmar,2019,Diverse fremstillede varer,316
2308,Myanmar,2020,Diverse fremstillede varer,633
2309,Myanmar,2021,Diverse fremstillede varer,1167
2321,Namibia,2018,Diverse fremstillede varer,791
2322,Namibia,2019,Diverse fremstillede varer,513
2323,Namibia,2020,Diverse fremstillede varer,373
2324,Namibia,2021,Diverse fremstillede varer,388
2336,Nauru,2018,Diverse fremstillede varer,0
2337,Nauru,2019,Diverse fremstillede varer,0
2338,Nauru,2020,Diverse fremstillede varer,0
2339,Nauru,2021,Diverse fremstillede varer,2
2351,Nederlandene,2018,Diverse fremstillede varer,991874
2352,Nederlandene,2019,Diverse fremstillede varer,1026428
2353,Nederlandene,2020,Diverse fremstillede varer,1184156
2354,Nederlandene,2021,Diverse fremstillede varer,1582933
2366,Nederlandske Antiller,2018,Diverse fremstillede varer,0
2367,Nederlandske Antiller,2019,Diverse fremstillede varer,0
2368,Nederlandske Antiller,2020,Diverse fremstillede varer,0
2369,Nederlandske Antiller,2021,Diverse fremstillede varer,0
2381,Nepal,2018,Diverse fremstillede varer,9882
2382,Nepal,2019,Diverse fremstillede varer,7213
2383,Nepal,2020,Diverse fremstillede varer,7136
2384,Nepal,2021,Diverse fremstillede varer,10389
2396,New Zealand,2018,Diverse fremstillede varer,4444
2397,New Zealand,2019,Diverse fremstillede varer,2338
2398,New Zealand,2020,Diverse fremstillede varer,2128
2399,New Zealand,2021,Diverse fremstillede varer,3949
2411,New Zealandsk Oceanien,2018,Diverse fremstillede varer,0
2412,New Zealandsk Oceanien,2019,Diverse fremstillede varer,0
2413,New Zealandsk Oceanien,2020,Diverse fremstillede varer,0
2414,New Zealandsk Oceanien,2021,Diverse fremstillede varer,0
2426,Nicaragua,2018,Diverse fremstillede varer,87
2427,Nicaragua,2019,Diverse fremstillede varer,18
2428,Nicaragua,2020,Diverse fremstillede varer,5
2429,Nicaragua,2021,Diverse fremstillede varer,47
2441,Niger,2018,Diverse fremstillede varer,0
2442,Niger,2019,Diverse fremstillede varer,0
2443,Niger,2020,Diverse fremstillede varer,0
2444,Niger,2021,Diverse fremstillede varer,3
2456,Nigeria,2018,Diverse fremstillede varer,14
2457,Nigeria,2019,Diverse fremstillede varer,10
2458,Nigeria,2020,Diverse fremstillede varer,6
2459,Nigeria,2021,Diverse fremstillede varer,34
2471,Niue,2018,Diverse fremstillede varer,0
2472,Niue,2019,Diverse fremstillede varer,0
2473,Niue,2020,Diverse fremstillede varer,0
2474,Niue,2021,Diverse fremstillede varer,0
2486,Nordkorea,2018,Diverse fremstillede varer,0
2487,Nordkorea,2019,Diverse fremstillede varer,0
2488,Nordkorea,2020,Diverse fremstillede varer,0
2489,Nordkorea,2021,Diverse fremstillede varer,29
2501,Nordmakedonien,2018,Diverse fremstillede varer,4108
2502,Nordmakedonien,2019,Diverse fremstillede varer,3392
2503,Nordmakedonien,2020,Diverse fremstillede varer,1163
2504,Nordmakedonien,2021,Diverse fremstillede varer,383
2516,Nordmarianerne,2018,Diverse fremstillede varer,0
2517,Nordmarianerne,2019,Diverse fremstillede varer,0
2518,Nordmarianerne,2020,Diverse fremstillede varer,0
2519,Nordmarianerne,2021,Diverse fremstillede varer,0
2531,Norfolkøen,2018,Diverse fremstillede varer,0
2532,Norfolkøen,2019,Diverse fremstillede varer,0
2533,Norfolkøen,2020,Diverse fremstillede varer,0
2534,Norfolkøen,2021,Diverse fremstillede varer,0
2546,Norge,2018,Diverse fremstillede varer,556137
2547,Norge,2019,Diverse fremstillede varer,616775
2548,Norge,2020,Diverse fremstillede varer,679187
2549,Norge,2021,Diverse fremstillede varer,733026
2561,Ny Kaledonien,2018,Diverse fremstillede varer,0
2562,Ny Kaledonien,2019,Diverse fremstillede varer,0
2563,Ny Kaledonien,2020,Diverse fremstillede varer,0
2564,Ny Kaledonien,2021,Diverse fremstillede varer,0
2576,Oman,2018,Diverse fremstillede varer,5
2577,Oman,2019,Diverse fremstillede varer,26
2578,Oman,2020,Diverse fremstillede varer,0
2579,Oman,2021,Diverse fremstillede varer,10
2591,Pakistan,2018,Diverse fremstillede varer,359985
2592,Pakistan,2019,Diverse fremstillede varer,423601
2593,Pakistan,2020,Diverse fremstillede varer,385212
2594,Pakistan,2021,Diverse fremstillede varer,505571
2606,Palau,2018,Diverse fremstillede varer,0
2607,Palau,2019,Diverse fremstillede varer,0
2608,Palau,2020,Diverse fremstillede varer,0
2609,Palau,2021,Diverse fremstillede varer,0
2621,Panama,2018,Diverse fremstillede varer,0
2622,Panama,2019,Diverse fremstillede varer,0
2623,Panama,2020,Diverse fremstillede varer,507
2624,Panama,2021,Diverse fremstillede varer,60
2636,Panamakanalzonen,2018,Diverse fremstillede varer,0
2637,Panamakanalzonen,2019,Diverse fremstillede varer,0
2638,Panamakanalzonen,2020,Diverse fremstillede varer,0
2639,Panamakanalzonen,2021,Diverse fremstillede varer,0
2651,Papua Ny Guinea,2018,Diverse fremstillede varer,0
2652,Papua Ny Guinea,2019,Diverse fremstillede varer,0
2653,Papua Ny Guinea,2020,Diverse fremstillede varer,0
2654,Papua Ny Guinea,2021,Diverse fremstillede varer,0
2666,Paraguay,2018,Diverse fremstillede varer,0
2667,Paraguay,2019,Diverse fremstillede varer,0
2668,Paraguay,2020,Diverse fremstillede varer,1590
2669,Paraguay,2021,Diverse fremstillede varer,3301
2681,Peru,2018,Diverse fremstillede varer,17198
2682,Peru,2019,Diverse fremstillede varer,30153
2683,Peru,2020,Diverse fremstillede varer,23586
2684,Peru,2021,Diverse fremstillede varer,56804
2696,Pitcairn,2018,Diverse fremstillede varer,0
2697,Pitcairn,2019,Diverse fremstillede varer,0
2698,Pitcairn,2020,Diverse fremstillede varer,0
2699,Pitcairn,2021,Diverse fremstillede varer,0
2711,Polarområder,2018,Diverse fremstillede varer,0
2712,Polarområder,2019,Diverse fremstillede varer,0
2713,Polarområder,2020,Diverse fremstillede varer,0
2714,Polarområder,2021,Diverse fremstillede varer,0
2726,Polen,2018,Diverse fremstillede varer,3252879
2727,Polen,2019,Diverse fremstillede varer,3422243
2728,Polen,2020,Diverse fremstillede varer,3554099
2729,Polen,2021,Diverse fremstillede varer,4438946
2741,Portugal,2018,Diverse fremstillede varer,232881
2742,Portugal,2019,Diverse fremstillede varer,219810
2743,Portugal,2020,Diverse fremstillede varer,215689
2744,Portugal,2021,Diverse fremstillede varer,329674
2756,Portugisisk Timor,2018,Diverse fremstillede varer,0
2757,Portugisisk Timor,2019,Diverse fremstillede varer,0
2758,Portugisisk Timor,2020,Diverse fremstillede varer,0
2759,Portugisisk Timor,2021,Diverse fremstillede varer,0
2771,Puerto Rico,2018,Diverse fremstillede varer,0
2772,Puerto Rico,2019,Diverse fremstillede varer,0
2773,Puerto Rico,2020,Diverse fremstillede varer,0
2774,Puerto Rico,2021,Diverse fremstillede varer,0
2786,Qatar,2018,Diverse fremstillede varer,85
2787,Qatar,2019,Diverse fremstillede varer,0
2788,Qatar,2020,Diverse fremstillede varer,188
2789,Qatar,2021,Diverse fremstillede varer,17
2801,Reunion,2018,Diverse fremstillede varer,0
2802,Reunion,2019,Diverse fremstillede varer,0
2803,Reunion,2020,Diverse fremstillede varer,0
2804,Reunion,2021,Diverse fremstillede varer,0
2816,Rumænien,2018,Diverse fremstillede varer,195315
2817,Rumænien,2019,Diverse fremstillede varer,211440
2818,Rumænien,2020,Diverse fremstillede varer,236809
2819,Rumænien,2021,Diverse fremstillede varer,337839
2831,Rusland,2018,Diverse fremstillede varer,118581
2832,Rusland,2019,Diverse fremstillede varer,109643
2833,Rusland,2020,Diverse fremstillede varer,86985
2834,Rusland,2021,Diverse fremstillede varer,174019
2846,Rwanda,2018,Diverse fremstillede varer,0
2847,Rwanda,2019,Diverse fremstillede varer,0
2848,Rwanda,2020,Diverse fremstillede varer,0
2849,Rwanda,2021,Diverse fremstillede varer,1
2861,Saint-Barthelemy,2018,Diverse fremstillede varer,0
2862,Saint-Barthelemy,2019,Diverse fremstillede varer,0
2863,Saint-Barthelemy,2020,Diverse fremstillede varer,0
2864,Saint-Barthelemy,2021,Diverse fremstillede varer,0
2876,Salomonøerne,2018,Diverse fremstillede varer,0
2877,Salomonøerne,2019,Diverse fremstillede varer,0
2878,Salomonøerne,2020,Diverse fremstillede varer,0
2879,Salomonøerne,2021,Diverse fremstillede varer,0
2891,Samoa,2018,Diverse fremstillede varer,0
2892,Samoa,2019,Diverse fremstillede varer,0
2893,Samoa,2020,Diverse fremstillede varer,1
2894,Samoa,2021,Diverse fremstillede varer,0
2906,San Marino,2018,Diverse fremstillede varer,531
2907,San Marino,2019,Diverse fremstillede varer,2
2908,San Marino,2020,Diverse fremstillede varer,0
2909,San Marino,2021,Diverse fremstillede varer,0
2921,Sao Tomé og  Principe,2018,Diverse fremstillede varer,0
2922,Sao Tomé og  Principe,2019,Diverse fremstillede varer,0
2923,Sao Tomé og  Principe,2020,Diverse fremstillede varer,0
2924,Sao Tomé og  Principe,2021,Diverse fremstillede varer,0
2936,Saudi-Arabien,2018,Diverse fremstillede varer,2147
2937,Saudi-Arabien,2019,Diverse fremstillede varer,211
2938,Saudi-Arabien,2020,Diverse fremstillede varer,5
2939,Saudi-Arabien,2021,Diverse fremstillede varer,333
2951,Schweiz,2018,Diverse fremstillede varer,25003
2952,Schweiz,2019,Diverse fremstillede varer,31648
2953,Schweiz,2020,Diverse fremstillede varer,32952
2954,Schweiz,2021,Diverse fremstillede varer,29251
2966,Senegal,2018,Diverse fremstillede varer,650
2967,Senegal,2019,Diverse fremstillede varer,54
2968,Senegal,2020,Diverse fremstillede varer,48
2969,Senegal,2021,Diverse fremstillede varer,77
2981,Serbien,2018,Diverse fremstillede varer,64387
2982,Serbien,2019,Diverse fremstillede varer,72947
2983,Serbien,2020,Diverse fremstillede varer,73987
2984,Serbien,2021,Diverse fremstillede varer,80367
2996,Seychellerne,2018,Diverse fremstillede varer,0
2997,Seychellerne,2019,Diverse fremstillede varer,0
2998,Seychellerne,2020,Diverse fremstillede varer,0
2999,Seychellerne,2021,Diverse fremstillede varer,0
3011,Sierra Leone,2018,Diverse fremstillede varer,1
3012,Sierra Leone,2019,Diverse fremstillede varer,0
3013,Sierra Leone,2020,Diverse fremstillede varer,0
3014,Sierra Leone,2021,Diverse fremstillede varer,154
3026,Singapore,2018,Diverse fremstillede varer,781
3027,Singapore,2019,Diverse fremstillede varer,469
3028,Singapore,2020,Diverse fremstillede varer,832
3029,Singapore,2021,Diverse fremstillede varer,2259
3041,Skt. Helena,2018,Diverse fremstillede varer,2
3042,Skt. Helena,2019,Diverse fremstillede varer,0
3043,Skt. Helena,2020,Diverse fremstillede varer,0
3044,Skt. Helena,2021,Diverse fremstillede varer,0
3056,Skt. Kitts og Nevis,2018,Diverse fremstillede varer,0
3057,Skt. Kitts og Nevis,2019,Diverse fremstillede varer,0
3058,Skt. Kitts og Nevis,2020,Diverse fremstillede varer,0
3059,Skt. Kitts og Nevis,2021,Diverse fremstillede varer,0
3071,Skt. Lucia,2018,Diverse fremstillede varer,0
3072,Skt. Lucia,2019,Diverse fremstillede varer,0
3073,Skt. Lucia,2020,Diverse fremstillede varer,1
3074,Skt. Lucia,2021,Diverse fremstillede varer,1
3086,Skt. Martin (NL),2018,Diverse fremstillede varer,0
3087,Skt. Martin (NL),2019,Diverse fremstillede varer,0
3088,Skt. Martin (NL),2020,Diverse fremstillede varer,0
3089,Skt. Martin (NL),2021,Diverse fremstillede varer,4
3101,Skt. Pierre og Miquelon,2018,Diverse fremstillede varer,0
3102,Skt. Pierre og Miquelon,2019,Diverse fremstillede varer,0
3103,Skt. Pierre og Miquelon,2020,Diverse fremstillede varer,0
3104,Skt. Pierre og Miquelon,2021,Diverse fremstillede varer,0
3116,Skt. Vincent og Grenadinerne,2018,Diverse fremstillede varer,0
3117,Skt. Vincent og Grenadinerne,2019,Diverse fremstillede varer,0
3118,Skt. Vincent og Grenadinerne,2020,Diverse fremstillede varer,0
3119,Skt. Vincent og Grenadinerne,2021,Diverse fremstillede varer,0
3131,Slovakiet,2018,Diverse fremstillede varer,210598
3132,Slovakiet,2019,Diverse fremstillede varer,196603
3133,Slovakiet,2020,Diverse fremstillede varer,212340
3134,Slovakiet,2021,Diverse fremstillede varer,187057
3146,Slovenien,2018,Diverse fremstillede varer,120287
3147,Slovenien,2019,Diverse fremstillede varer,119359
3148,Slovenien,2020,Diverse fremstillede varer,113741
3149,Slovenien,2021,Diverse fremstillede varer,150885
3161,Somalia,2018,Diverse fremstillede varer,0
3162,Somalia,2019,Diverse fremstillede varer,2
3163,Somalia,2020,Diverse fremstillede varer,0
3164,Somalia,2021,Diverse fremstillede varer,0
3176,South Georgia og De Sydlige Sandwichøer,2018,Diverse fremstillede varer,0
3177,South Georgia og De Sydlige Sandwichøer,2019,Diverse fremstillede varer,0
3178,South Georgia og De Sydlige Sandwichøer,2020,Diverse fremstillede varer,0
3179,South Georgia og De Sydlige Sandwichøer,2021,Diverse fremstillede varer,0
3191,Sovjetunionen,2018,Diverse fremstillede varer,0
3192,Sovjetunionen,2019,Diverse fremstillede varer,0
3193,Sovjetunionen,2020,Diverse fremstillede varer,0
3194,Sovjetunionen,2021,Diverse fremstillede varer,0
3206,Spanien,2018,Diverse fremstillede varer,199069
3207,Spanien,2019,Diverse fremstillede varer,171330
3208,Spanien,2020,Diverse fremstillede varer,197780
3209,Spanien,2021,Diverse fremstillede varer,196724
3221,Sri Lanka,2018,Diverse fremstillede varer,24850
3222,Sri Lanka,2019,Diverse fremstillede varer,10877
3223,Sri Lanka,2020,Diverse fremstillede varer,5834
3224,Sri Lanka,2021,Diverse fremstillede varer,5128
3236,Storbritannien,2018,Diverse fremstillede varer,595812
3237,Storbritannien,2019,Diverse fremstillede varer,652151
3238,Storbritannien,2020,Diverse fremstillede varer,506571
3239,Storbritannien,2021,Diverse fremstillede varer,554296
3251,Sudan,2018,Diverse fremstillede varer,0
3252,Sudan,2019,Diverse fremstillede varer,0
3253,Sudan,2020,Diverse fremstillede varer,0
3254,Sudan,2021,Diverse fremstillede varer,0
3266,Suriname,2018,Diverse fremstillede varer,0
3267,Suriname,2019,Diverse fremstillede varer,0
3268,Suriname,2020,Diverse fremstillede varer,8
3269,Suriname,2021,Diverse fremstillede varer,0
3281,Svalbard,2018,Diverse fremstillede varer,0
3282,Svalbard,2019,Diverse fremstillede varer,0
3283,Svalbard,2020,Diverse fremstillede varer,0
3284,Svalbard,2021,Diverse fremstillede varer,0
3296,Sverige,2018,Diverse fremstillede varer,3301460
3297,Sverige,2019,Diverse fremstillede varer,3394071
3298,Sverige,2020,Diverse fremstillede varer,3576549
3299,Sverige,2021,Diverse fremstillede varer,4219192
3311,Sydafrika,2018,Diverse fremstillede varer,22913
3312,Sydafrika,2019,Diverse fremstillede varer,12284
3313,Sydafrika,2020,Diverse fremstillede varer,14452
3314,Sydafrika,2021,Diverse fremstillede varer,11431
3326,Sydkorea,2018,Diverse fremstillede varer,33341
3327,Sydkorea,2019,Diverse fremstillede varer,42854
3328,Sydkorea,2020,Diverse fremstillede varer,40808
3329,Sydkorea,2021,Diverse fremstillede varer,45266
3341,Sydsudan,2018,Diverse fremstillede varer,0
3342,Sydsudan,2019,Diverse fremstillede varer,0
3343,Sydsudan,2020,Diverse fremstillede varer,0
3344,Sydsudan,2021,Diverse fremstillede varer,0
3356,Sydyemen,2018,Diverse fremstillede varer,0
3357,Sydyemen,2019,Diverse fremstillede varer,0
3358,Sydyemen,2020,Diverse fremstillede varer,0
3359,Sydyemen,2021,Diverse fremstillede varer,0
3371,Syrien,2018,Diverse fremstillede varer,169
3372,Syrien,2019,Diverse fremstillede varer,3
3373,Syrien,2020,Diverse fremstillede varer,23
3374,Syrien,2021,Diverse fremstillede varer,23
3386,Tadsjikistan,2018,Diverse fremstillede varer,0
3387,Tadsjikistan,2019,Diverse fremstillede varer,0
3388,Tadsjikistan,2020,Diverse fremstillede varer,0
3389,Tadsjikistan,2021,Diverse fremstillede varer,0
3401,Taiwan,2018,Diverse fremstillede varer,87213
3402,Taiwan,2019,Diverse fremstillede varer,101281
3403,Taiwan,2020,Diverse fremstillede varer,88097
3404,Taiwan,2021,Diverse fremstillede varer,87965
3416,Tanzania,2018,Diverse fremstillede varer,25
3417,Tanzania,2019,Diverse fremstillede varer,14
3418,Tanzania,2020,Diverse fremstillede varer,30
3419,Tanzania,2021,Diverse fremstillede varer,3
3431,Tchad,2018,Diverse fremstillede varer,0
3432,Tchad,2019,Diverse fremstillede varer,0
3433,Tchad,2020,Diverse fremstillede varer,0
3434,Tchad,2021,Diverse fremstillede varer,0
3446,Thailand,2018,Diverse fremstillede varer,68284
3447,Thailand,2019,Diverse fremstillede varer,67506
3448,Thailand,2020,Diverse fremstillede varer,60271
3449,Thailand,2021,Diverse fremstillede varer,80752
3461,Tjekkiet,2018,Diverse fremstillede varer,347883
3462,Tjekkiet,2019,Diverse fremstillede varer,344577
3463,Tjekkiet,2020,Diverse fremstillede varer,361485
3464,Tjekkiet,2021,Diverse fremstillede varer,419822
3476,Tjekkoslovakiet,2018,Diverse fremstillede varer,0
3477,Tjekkoslovakiet,2019,Diverse fremstillede varer,0
3478,Tjekkoslovakiet,2020,Diverse fremstillede varer,0
3479,Tjekkoslovakiet,2021,Diverse fremstillede varer,0
3491,Togo,2018,Diverse fremstillede varer,0
3492,Togo,2019,Diverse fremstillede varer,0
3493,Togo,2020,Diverse fremstillede varer,0
3494,Togo,2021,Diverse fremstillede varer,0
3506,Tokelau,2018,Diverse fremstillede varer,0
3507,Tokelau,2019,Diverse fremstillede varer,0
3508,Tokelau,2020,Diverse fremstillede varer,1
3509,Tokelau,2021,Diverse fremstillede varer,0
3521,Tonga,2018,Diverse fremstillede varer,0
3522,Tonga,2019,Diverse fremstillede varer,0
3523,Tonga,2020,Diverse fremstillede varer,0
3524,Tonga,2021,Diverse fremstillede varer,0
3536,Trinidad og Tobago,2018,Diverse fremstillede varer,0
3537,Trinidad og Tobago,2019,Diverse fremstillede varer,0
3538,Trinidad og Tobago,2020,Diverse fremstillede varer,0
3539,Trinidad og Tobago,2021,Diverse fremstillede varer,19
3551,Tunesien,2018,Diverse fremstillede varer,628
3552,Tunesien,2019,Diverse fremstillede varer,2924
3553,Tunesien,2020,Diverse fremstillede varer,2730
3554,Tunesien,2021,Diverse fremstillede varer,944
3566,Turkmenistan,2018,Diverse fremstillede varer,3
3567,Turkmenistan,2019,Diverse fremstillede varer,0
3568,Turkmenistan,2020,Diverse fremstillede varer,0
3569,Turkmenistan,2021,Diverse fremstillede varer,0
3581,Turks- og Caicosøerne,2018,Diverse fremstillede varer,0
3582,Turks- og Caicosøerne,2019,Diverse fremstillede varer,0
3583,Turks- og Caicosøerne,2020,Diverse fremstillede varer,0
3584,Turks- og Caicosøerne,2021,Diverse fremstillede varer,0
3596,Tuvalu,2018,Diverse fremstillede varer,0
3597,Tuvalu,2019,Diverse fremstillede varer,0
3598,Tuvalu,2020,Diverse fremstillede varer,0
3599,Tuvalu,2021,Diverse fremstillede varer,0
3611,Tyrkiet,2018,Diverse fremstillede varer,443396
3612,Tyrkiet,2019,Diverse fremstillede varer,449372
3613,Tyrkiet,2020,Diverse fremstillede varer,507602
3614,Tyrkiet,2021,Diverse fremstillede varer,601072
3626,Tyskland,2018,Diverse fremstillede varer,4620379
3627,Tyskland,2019,Diverse fremstillede varer,4621013
3628,Tyskland,2020,Diverse fremstillede varer,5011726
3629,Tyskland,2021,Diverse fremstillede varer,5198752
3641,USA,2018,Diverse fremstillede varer,122346
3642,USA,2019,Diverse fremstillede varer,131545
3643,USA,2020,Diverse fremstillede varer,116829
3644,USA,2021,Diverse fremstillede varer,168610
3656,USAs mindre øbesiddelser,2018,Diverse fremstillede varer,6
3657,USAs mindre øbesiddelser,2019,Diverse fremstillede varer,0
3658,USAs mindre øbesiddelser,2020,Diverse fremstillede varer,0
3659,USAs mindre øbesiddelser,2021,Diverse fremstillede varer,0
3671,Uganda,2018,Diverse fremstillede varer,28
3672,Uganda,2019,Diverse fremstillede varer,181
3673,Uganda,2020,Diverse fremstillede varer,1
3674,Uganda,2021,Diverse fremstillede varer,0
3686,Ukraine,2018,Diverse fremstillede varer,323642
3687,Ukraine,2019,Diverse fremstillede varer,439106
3688,Ukraine,2020,Diverse fremstillede varer,446680
3689,Ukraine,2021,Diverse fremstillede varer,659544
3701,Ungarn,2018,Diverse fremstillede varer,70664
3702,Ungarn,2019,Diverse fremstillede varer,65398
3703,Ungarn,2020,Diverse fremstillede varer,53879
3704,Ungarn,2021,Diverse fremstillede varer,68294
3716,Uoplyst land,2018,Diverse fremstillede varer,0
3717,Uoplyst land,2019,Diverse fremstillede varer,0
3718,Uoplyst land,2020,Diverse fremstillede varer,0
3719,Uoplyst land,2021,Diverse fremstillede varer,0
3731,Uoplyst land 3. Lande,2018,Diverse fremstillede varer,177
3732,Uoplyst land 3. Lande,2019,Diverse fremstillede varer,416
3733,Uoplyst land 3. Lande,2020,Diverse fremstillede varer,489
3734,Uoplyst land 3. Lande,2021,Diverse fremstillede varer,664
3746,Uoplyst land EU-lande,2018,Diverse fremstillede varer,0
3747,Uoplyst land EU-lande,2019,Diverse fremstillede varer,0
3748,Uoplyst land EU-lande,2020,Diverse fremstillede varer,0
3749,Uoplyst land EU-lande,2021,Diverse fremstillede varer,0
3761,Uruguay,2018,Diverse fremstillede varer,7642
3762,Uruguay,2019,Diverse fremstillede varer,4596
3763,Uruguay,2020,Diverse fremstillede varer,4910
3764,Uruguay,2021,Diverse fremstillede varer,3470
3776,Usbekistan,2018,Diverse fremstillede varer,16
3777,Usbekistan,2019,Diverse fremstillede varer,0
3778,Usbekistan,2020,Diverse fremstillede varer,0
3779,Usbekistan,2021,Diverse fremstillede varer,293
3791,Vanuatu,2018,Diverse fremstillede varer,0
3792,Vanuatu,2019,Diverse fremstillede varer,0
3793,Vanuatu,2020,Diverse fremstillede varer,0
3794,Vanuatu,2021,Diverse fremstillede varer,0
3806,Vatikanstaten,2018,Diverse fremstillede varer,0
3807,Vatikanstaten,2019,Diverse fremstillede varer,0
3808,Vatikanstaten,2020,Diverse fremstillede varer,0
3809,Vatikanstaten,2021,Diverse fremstillede varer,0
3821,Venezuela,2018,Diverse fremstillede varer,0
3822,Venezuela,2019,Diverse fremstillede varer,0
3823,Venezuela,2020,Diverse fremstillede varer,0
3824,Venezuela,2021,Diverse fremstillede varer,3
3836,Vestbredden og Gaza,2018,Diverse fremstillede varer,0
3837,Vestbredden og Gaza,2019,Diverse fremstillede varer,0
3838,Vestbredden og Gaza,2020,Diverse fremstillede varer,0
3839,Vestbredden og Gaza,2021,Diverse fremstillede varer,0
3851,Vestindiske Øer,2018,Diverse fremstillede varer,0
3852,Vestindiske Øer,2019,Diverse fremstillede varer,0
