,LAND,TID,SITC,INDHOLD
449,Bosnien-Hercegovina,2021,Diverse fremstillede varer,76088
461,Botswana,2018,Diverse fremstillede varer,0
462,Botswana,2019,Diverse fremstillede varer,0
463,Botswana,2020,Diverse fremstillede varer,0
464,Botswana,2021,Diverse fremstillede varer,0
476,Bouvetøen,2018,Diverse fremstillede varer,0
477,Bouvetøen,2019,Diverse fremstillede varer,0
478,Bouvetøen,2020,Diverse fremstillede varer,0
479,Bouvetøen,2021,Diverse fremstillede varer,0
491,Brasilien,2018,Diverse fremstillede varer,166316
492,Brasilien,2019,Diverse fremstillede varer,82710
493,Brasilien,2020,Diverse fremstillede varer,100400
494,Brasilien,2021,Diverse fremstillede varer,114448
506,Britisk Oceanien,2018,Diverse fremstillede varer,0
507,Britisk Oceanien,2019,Diverse fremstillede varer,0
508,Britisk Oceanien,2020,Diverse fremstillede varer,0
509,Britisk Oceanien,2021,Diverse fremstillede varer,399
521,Britiske Jomfruøer,2018,Diverse fremstillede varer,0
522,Britiske Jomfruøer,2019,Diverse fremstillede varer,0
523,Britiske Jomfruøer,2020,Diverse fremstillede varer,0
524,Britiske Jomfruøer,2021,Diverse fremstillede varer,0
536,Britiske territorium i det Indiske Ocean,2018,Diverse fremstillede varer,0
537,Britiske territorium i det Indiske Ocean,2019,Diverse fremstillede varer,0
538,Britiske territorium i det Indiske Ocean,2020,Diverse fremstillede varer,0
539,Britiske territorium i det Indiske Ocean,2021,Diverse fremstillede varer,0
551,Brunei,2018,Diverse fremstillede varer,15
552,Brunei,2019,Diverse fremstillede varer,0
553,Brunei,2020,Diverse fremstillede varer,54
554,Brunei,2021,Diverse fremstillede varer,61
566,Bulgarien,2018,Diverse fremstillede varer,148747
567,Bulgarien,2019,Diverse fremstillede varer,158353
568,Bulgarien,2020,Diverse fremstillede varer,236530
569,Bulgarien,2021,Diverse fremstillede varer,272107
581,Burkina Faso,2018,Diverse fremstillede varer,0
582,Burkina Faso,2019,Diverse fremstillede varer,5
583,Burkina Faso,2020,Diverse fremstillede varer,11
584,Burkina Faso,2021,Diverse fremstillede varer,62
596,Burundi,2018,Diverse fremstillede varer,0
597,Burundi,2019,Diverse fremstillede varer,0
598,Burundi,2020,Diverse fremstillede varer,0
599,Burundi,2021,Diverse fremstillede varer,0
611,Cambodja,2018,Diverse fremstillede varer,484
612,Cambodja,2019,Diverse fremstillede varer,954
