År,Import - LANDE I ALT,Import - EU-27,Import - Tyskland,Import - Sverige,Import - Nederlandene,Import - Frankrig,Import - Verden uden for EU,Import - Norge,Import - Storbritannien,Import - USA,Import - Kina,Import - Rusland,Import - BRIIKS,Eksport - LANDE I ALT,Eksport - EU-27,Eksport - Tyskland,Eksport - Sverige,Eksport - Nederlandene,Eksport - Frankrig,Eksport - Verden uden for EU,Eksport - Norge,Eksport - Storbritannien,Eksport - USA,Eksport - Kina,Eksport - Rusland,Eksport - BRIIKS
2018,570772.7,404387.8,131793.6,70401.4,48396.3,19172.4,166384.9,15938.6,22604.6,14802.7,43979.8,5255,58636.8,642670.4,339942.1,103175.8,63375.7,27305,24475.7,302728.3,40807.1,42303.1,54824.9,28390.8,6269.5,45038.9
2019,594264.3,419753.2,136415.6,72722.1,49997.8,20137,174511.2,16557.1,22362.6,16412.3,46077.3,4990.2,60484.4,697248.8,356395.6,104384.5,63483.2,32895.4,25478.8,340853.2,43316.3,42044.7,75146.6,36097.6,7293.9,56264.9
2020,600717.8,429647.4,136098.2,75817.3,52552.6,20685.8,171070.5,15770.9,20123.1,15916.8,49903.9,4531,62870,681558.5,347168.8,94470.2,61867.6,39672.3,24585.4,334389.5,42469.6,34376.7,76934.2,41168.9,6818.4,59358.7
2021,690174,491673.4,150152.7,87994.1,63223.8,23719,198500.6,17892.7,14901.7,17313.7,65068.6,7412.6,82788.8,743922.2,382767.3,103252.5,72319.1,35340.5,27820.6,361154.9,46329.2,41074.4,73021.3,44253.2,7616,64992.1
2022,790790.5,549017.6,166460.9,92982.9,71590.9,24762.6,241773,22941.7,17055.6,20592,78706.1,5392.9,98402,843754.8,447618,121725.3,78213.4,41332.4,34541.3,396136.8,51277.9,39762.4,87027.1,42396.4,3277.1,62279.7
2023,734466.4,529716.3,159274.1,88438.8,73285.5,25044.4,204750.2,23984.4,15479.3,21466.7,55596.3,2390.1,70360.8,832009.1,451929,121946.6,74238.7,45792.2,34257.9,380080.1,49377.7,41642.4,71830.8,39741.6,1515.5,58103.7
