,LAND,TID,INDHOLD,SITC
311,Barbados,2018,12,"levende dyr, fødevarer, drikkevarer og tobak"
312,Barbados,2019,5,"levende dyr, fødevarer, drikkevarer og tobak"
313,Barbados,2020,0,"levende dyr, fødevarer, drikkevarer og tobak"
314,Barbados,2021,4,"levende dyr, fødevarer, drikkevarer og tobak"
326,Belarus,2018,54381,"levende dyr, fødevarer, drikkevarer og tobak"
327,Belarus,2019,33417,"levende dyr, fødevarer, drikkevarer og tobak"
328,Belarus,2020,45258,"levende dyr, fødevarer, drikkevarer og tobak"
329,Belarus,2021,122243,"levende dyr, fødevarer, drikkevarer og tobak"
341,Belgien,2018,2185190,"levende dyr, fødevarer, drikkevarer og tobak"
342,Belgien,2019,2339843,"levende dyr, fødevarer, drikkevarer og tobak"
343,Belgien,2020,2343493,"levende dyr, fødevarer, drikkevarer og tobak"
344,Belgien,2021,2598677,"levende dyr, fødevarer, drikkevarer og tobak"
356,Belize,2018,9549,"levende dyr, fødevarer, drikkevarer og tobak"
357,Belize,2019,552,"levende dyr, fødevarer, drikkevarer og tobak"
358,Belize,2020,152,"levende dyr, fødevarer, drikkevarer og tobak"
359,Belize,2021,0,"levende dyr, fødevarer, drikkevarer og tobak"
371,Benin,2018,193381,"levende dyr, fødevarer, drikkevarer og tobak"
372,Benin,2019,219968,"levende dyr, fødevarer, drikkevarer og tobak"
373,Benin,2020,311089,"levende dyr, fødevarer, drikkevarer og tobak"
374,Benin,2021,93864,"levende dyr, fødevarer, drikkevarer og tobak"
386,Bermuda,2018,0,"levende dyr, fødevarer, drikkevarer og tobak"
387,Bermuda,2019,0,"levende dyr, fødevarer, drikkevarer og tobak"
388,Bermuda,2020,0,"levende dyr, fødevarer, drikkevarer og tobak"
389,Bermuda,2021,0,"levende dyr, fødevarer, drikkevarer og tobak"
401,Bhutan,2018,0,"levende dyr, fødevarer, drikkevarer og tobak"
402,Bhutan,2019,0,"levende dyr, fødevarer, drikkevarer og tobak"
403,Bhutan,2020,0,"levende dyr, fødevarer, drikkevarer og tobak"
404,Bhutan,2021,0,"levende dyr, fødevarer, drikkevarer og tobak"
416,Bolivia,2018,8788,"levende dyr, fødevarer, drikkevarer og tobak"
417,Bolivia,2019,3059,"levende dyr, fødevarer, drikkevarer og tobak"
418,Bolivia,2020,3145,"levende dyr, fødevarer, drikkevarer og tobak"
419,Bolivia,2021,4140,"levende dyr, fødevarer, drikkevarer og tobak"
431,"Bonaire, Sint Eustatius og Saba",2018,0,"levende dyr, fødevarer, drikkevarer og tobak"
432,"Bonaire, Sint Eustatius og Saba",2019,0,"levende dyr, fødevarer, drikkevarer og tobak"
433,"Bonaire, Sint Eustatius og Saba",2020,0,"levende dyr, fødevarer, drikkevarer og tobak"
434,"Bonaire, Sint Eustatius og Saba",2021,0,"levende dyr, fødevarer, drikkevarer og tobak"
446,Bosnien-Hercegovina,2018,9041,"levende dyr, fødevarer, drikkevarer og tobak"
447,Bosnien-Hercegovina,2019,8036,"levende dyr, fødevarer, drikkevarer og tobak"
448,Bosnien-Hercegovina,2020,7548,"levende dyr, fødevarer, drikkevarer og tobak"
449,Bosnien-Hercegovina,2021,6232,"levende dyr, fødevarer, drikkevarer og tobak"
461,Botswana,2018,0,"levende dyr, fødevarer, drikkevarer og tobak"
462,Botswana,2019,0,"levende dyr, fødevarer, drikkevarer og tobak"
463,Botswana,2020,1,"levende dyr, fødevarer, drikkevarer og tobak"
464,Botswana,2021,0,"levende dyr, fødevarer, drikkevarer og tobak"
476,Bouvetøen,2018,0,"levende dyr, fødevarer, drikkevarer og tobak"
477,Bouvetøen,2019,0,"levende dyr, fødevarer, drikkevarer og tobak"
478,Bouvetøen,2020,0,"levende dyr, fødevarer, drikkevarer og tobak"
479,Bouvetøen,2021,0,"levende dyr, fødevarer, drikkevarer og tobak"
491,Brasilien,2018,784557,"levende dyr, fødevarer, drikkevarer og tobak"
492,Brasilien,2019,775161,"levende dyr, fødevarer, drikkevarer og tobak"
493,Brasilien,2020,912483,"levende dyr, fødevarer, drikkevarer og tobak"
494,Brasilien,2021,1234228,"levende dyr, fødevarer, drikkevarer og tobak"
506,Britisk Oceanien,2018,0,"levende dyr, fødevarer, drikkevarer og tobak"
507,Britisk Oceanien,2019,0,"levende dyr, fødevarer, drikkevarer og tobak"
