ID,LAND,TID,SITC,INDHOLD
131,Brazil,2020,Diverse fremstillede varer,100400
132,Brazil,2021,Diverse fremstillede varer,114448
133,United Kingdom,2018,Diverse fremstillede varer,0
134,United Kingdom,2019,Diverse fremstillede varer,0
135,United Kingdom,2020,Diverse fremstillede varer,0
136,United Kingdom,2021,Diverse fremstillede varer,399
137,United Kingdom,2018,Diverse fremstillede varer,0
138,United Kingdom,2019,Diverse fremstillede varer,0
139,United Kingdom,2020,Diverse fremstillede varer,0
140,United Kingdom,2021,Diverse fremstillede varer,0
141,United Kingdom,2018,Diverse fremstillede varer,0
142,United Kingdom,2019,Diverse fremstillede varer,0
143,United Kingdom,2020,Diverse fremstillede varer,0
144,United Kingdom,2021,Diverse fremstillede varer,0
145,Brunei,2018,Diverse fremstillede varer,15
146,Brunei,2019,Diverse fremstillede varer,0
147,Brunei,2020,Diverse fremstillede varer,54
148,Brunei,2021,Diverse fremstillede varer,61
149,Bulgaria,2018,Diverse fremstillede varer,148747
150,Bulgaria,2019,Diverse fremstillede varer,158353
151,Bulgaria,2020,Diverse fremstillede varer,236530
152,Bulgaria,2021,Diverse fremstillede varer,272107
153,Burkina Faso,2018,Diverse fremstillede varer,0
154,Burkina Faso,2019,Diverse fremstillede varer,5
155,Burkina Faso,2020,Diverse fremstillede varer,11
156,Burkina Faso,2021,Diverse fremstillede varer,62
157,Burundi,2018,Diverse fremstillede varer,0
158,Burundi,2019,Diverse fremstillede varer,0
159,Burundi,2020,Diverse fremstillede varer,0
160,Burundi,2021,Diverse fremstillede varer,0
161,Cambodia,2018,Diverse fremstillede varer,484
162,Cambodia,2019,Diverse fremstillede varer,954
163,Cambodia,2020,Diverse fremstillede varer,3089
164,Cambodia,2021,Diverse fremstillede varer,4651
165,Cameroon,2018,Diverse fremstillede varer,179
166,Cameroon,2019,Diverse fremstillede varer,161
167,Cameroon,2020,Diverse fremstillede varer,6
168,Cameroon,2021,Diverse fremstillede varer,336
169,Canada,2018,Diverse fremstillede varer,14283
170,Canada,2019,Diverse fremstillede varer,8825
171,Canada,2020,Diverse fremstillede varer,5699
172,Canada,2021,Diverse fremstillede varer,8528
